C0: High Engagement,C1: Light Engagement
,8.79
,5.91
,5.35
,5.23
,4.94
23.6,6.6
,7.83
26.86,7.08
18.79,5.83
34.58,6.65
19.04,7.34
26.93,9.95
26.06,11.0
18.6,7.27
15.54,4.39
20.75,2.95
20.28,4.79
22.44,8.37
20.77,7.29
,2.56
22.22,7.4
22.43,3.5
,5.07
,4.19
20.59,5.56
17.12,8.3
16.7,
25.48,5.18
,4.62
,5.57
20.32,5.79
24.65,12.03
19.58,8.83
,7.31
17.81,6.25
20.13,13.18
21.01,8.28
,10.52
19.27,8.25
,10.83
13.97,10.26
15.05,6.34
20.14,8.5
18.28,6.71
,2.87
20.13,
18.11,5.37
16.5,9.46
21.33,7.27
37.82,11.17
15.93,6.15
21.81,8.91
19.75,21.17
19.1,6.72
10.64,
,5.14
15.16,5.19
,7.16
15.81,3.35
17.76,4.83
,6.31
,3.64
,3.5
,7.67
24.1,10.16
,4.42
,3.71
17.4,5.67
,6.35
,11.3
25.16,6.25
,6.08
,6.31
,2.68
19.96,3.61
14.17,4.47
12.35,4.36
17.0,
24.25,5.56
