bvid,title,tname,view,like,coin,favorite,engagement_rate,cluster,cluster_name
BV1GW411g7mc,【面筋哥×波澜哥】我的烤面筋，融化你的心！,Human VOCALOID,62932863,2162676,2139666,1554247,0.1053,0,Light Engagement
BV1q4FTeBEMj,【无损音质】周杰伦歌曲精选100首 歌词版纯享 地表最高音质 每一首都是顶级文案 中国流行音乐开拓者JAY,Radio,49023775,107338,74859,153609,0.0071,0,Light Engagement
BV1YLZzYEE1Z,随机挑战！106元吃鸡腿？这得吃多少个…,Food Vlog,35330079,320177,51530,545838,0.026,0,Light Engagement
BV1GyZYYNErW,我的世界克苏鲁全集：一口气看完,PC Games,25111178,338259,73796,747012,0.0464,0,Light Engagement
BV1V1ZcY5ESQ,《所罗门群岛》第2集：这次挑战太野了，不仅被鳄鱼赶下岛，还与鲨鱼群斗智斗勇长达数小时！,Travel,18989137,179051,63068,253933,0.0263,0,Light Engagement
BV1JwZ8YTECV,哈哈哈哈音乐卧底,Comedy,18750589,97686,8645,188199,0.0158,0,Light Engagement
BV1pEXaYvETn,笑着笑着就哭了！当他跳下楼梯的瞬间，社会逼疯的到底是他，还是我们？,Film Talk,18682049,302907,46347,398769,0.0403,0,Light Engagement
BV17VZpY1ENA,给我们的组合起个名！,Cover Songs,17261435,1520747,233900,201575,0.1201,0,Light Engagement
BV1daXrY2EPt,求求你，别再刀了！B站陈奕迅《跳楼机》真.粤语版,Cover Songs,15159628,619042,463565,376958,0.1093,0,Light Engagement
BV1TfZcYvEs6,陪伴我10年的员工离开了....,Comedy,14924289,1280440,1223003,440180,0.2022,1,High Engagement
BV1stZAYvELe,不可能存在方的鸡！除非……,Cooking,14689678,650648,194033,143649,0.0688,0,Light Engagement
BV1c6ZtYYEMy,挑战一天只吃绿色的食物，没肉的24小时，我崩溃了,Food Review,13555637,31355,3721,85663,0.0089,0,Light Engagement
BV1V9X6YCEbh,【emo歌曲合集】“前奏一响，遗憾登场”,MV,12821309,197070,51490,725874,0.0764,0,Light Engagement
BV1kpZhYrEA7,当物理应用成为杀人手段，当现实与虚拟交汇,Anime Talk,12094049,45984,3250,83335,0.011,0,Light Engagement
BV1x4ZqYAEYx,零帧起手！你怎么防？！,Comedy,11714644,98454,30266,295925,0.0363,0,Light Engagement
BV1wFZ8YBEt4,为什么人类需要不断吃盐，而动物们却不用？,Science,11538993,109345,3829,43958,0.0137,0,Light Engagement
BV1ubZnYoEQY,飞！！雷！！神！！！！,PC Games,11280704,142172,6914,172039,0.0286,0,Light Engagement
BV1c3ZwY4EqE,我们仿拍了一段时间暂停……,Daily Life,11163419,510515,55622,83141,0.0589,0,Light Engagement
BV1M1X8YuErC,什么是动物刻板？最偏心的动物园？重庆动物园探馆！,动物综合,10941437,216169,42014,107484,0.0341,0,Light Engagement
BV1XVZzYSEH4,挑战去小学当一天学生？我来到了地图上都找不到的深山小学！,Comedy,10670455,78236,37842,97736,0.0201,0,Light Engagement
BV1PrZaYEEt1,用 ai 做一道人类历史上从未出现的料理！！《星穹脆皮鸡》,Cooking,10669016,57962,9411,81244,0.014,0,Light Engagement
BV1H5Z4YhEsn,海龟汤（2）,Board Games,10449325,318468,112516,168880,0.058,0,Light Engagement
BV1ixQgY4EmM,英雄主义【完整版】,Original Music,10316772,575632,200234,537342,0.131,0,Light Engagement
BV1sSoXYzEP9,正义铁拳1-3合集你只是一个谦逊和蔼的辅警 却三脚就能让A级通缉犯跪下唱征服,Doujin/Sketch,10316025,34558,9609,242274,0.0278,0,Light Engagement
BV1EKZnYkEqB,双影奇境 第八期，大结局，鲤鱼Ace解说,PC Games,10271510,112553,31547,203604,0.0339,0,Light Engagement
BV1ZfoXYaERH,建议严查这批网红零食（4）,Food Review,10172250,116815,17224,166758,0.0296,0,Light Engagement
BV1kio9YTEPn,小时候的语文课文，是长大后的人生 | 第二十集,Short Films,10084402,55270,8733,161604,0.0224,0,Light Engagement
BV11eZ8Y5EVi,循环歌单|【八方来财】|“【来财の小曲】谁懂憋佬仔出来时的救赎感”,Music Review,10019466,64962,14322,346287,0.0427,0,Light Engagement
BV1L8Z6YZEDS,“鲁智深：林冲？好吧那我输的不冤”,Film Editing,9999218,544412,15961,70803,0.0635,0,Light Engagement
BV1uhZnYxEKR,哇！南瓜乐园越来越眼熟了！！！！#4,Travel,9866896,159099,40901,130637,0.0337,0,Light Engagement
BV1mafKYHESz,办公室里的恶趣味,Comedy,9594954,422270,20473,35541,0.0509,0,Light Engagement
BV1L6ZvY1EEU,美美洗白变史诗翻车，赵露思的灾难性公关太炸裂了【小小的勇气】,Entertainment Talk,9582350,313117,94641,48913,0.061,0,Light Engagement
BV148oyYnEGU,那天父亲给我请了一位资深的教育老师......,Short Films,9340502,81161,6614,232419,0.0343,0,Light Engagement
BV1oko9YAE9C,“胜利之舞”是啥？短短几天播放43亿，网友：太魔性！,Music Review,9225853,80549,7639,207988,0.0323,0,Light Engagement
BV1B8ZJYTEPg,现代修仙，没钱纯靠自律【自律狠人】【第一季超长电影版】,Doujin/Sketch,9178786,72989,16412,127219,0.0238,0,Light Engagement
BV1XWQbY6Ea3,在它们手里就没有不费的东西，一年拆一个,Cats,8941261,324705,13885,20296,0.041,0,Light Engagement
BV1DDZHYhE59,盘点男组合那些神级翻唱，你最喜欢哪个组合呢？,Music Review,8583972,42206,8336,275362,0.038,0,Light Engagement
BV1P3ZPYNETK,《微凉提示》傲娇师尊给你的备注竟然是炉鼎！高冷师姐更是要亲你,Doujin/Sketch,8372747,41200,4056,161069,0.0247,0,Light Engagement
BV1h6ZJY8ErK,大家帮我谴责刚子，这期不算呜呜呜,Comedy,8340701,143206,15269,62484,0.0268,0,Light Engagement
BV1VnoxYyEr6,蒙娜丽莎终于可以歇会儿了,Cats,8176011,315190,3947,29063,0.0459,0,Light Engagement
BV1kCoxYZEAc,小学生拿到新电脑VS大学生拿到新电脑,计算机技术,8009325,155938,52499,553412,0.0952,0,Light Engagement
BV1S1oeYbExH,以前跟着水渠练漂移刀，现在跟着良心练铁布衫。,Food Review,7999085,170307,1836,6952,0.0225,0,Light Engagement
